id,time,huabinup,xiaoyinup,zhonghbeiindown,zhonghbeiinup,zhonghnanindown,zhonghnaninup,songjinup,xinindown,xianindown,shuginup,lianhindown
1,2015/12/21 0:00,6,2,3,1,1,0,6,8,7,7,15
2,2015/12/21 0:05,7,10,7,1,1,3,10,13,3,10,14
3,2015/12/21 0:10,9,11,5,2,1,2,9,9,6,5,10
4,2015/12/21 0:15,6,4,4,1,4,0,5,19,3,4,10
5,2015/12/21 0:20,5,2,3,1,1,1,10,7,0,6,12
6,2015/12/21 0:25,4,6,3,4,2,1,5,4,5,6,10
7,2015/12/21 0:30,4,5,3,0,3,2,10,9,4,5,8
8,2015/12/21 0:35,4,7,0,2,5,2,10,5,8,5,11
9,2015/12/21 0:40,7,7,3,1,5,1,7,5,2,4,12
10,2015/12/21 0:45,12,5,2,0,4,1,4,16,3,10,11
11,2015/12/21 0:50,5,5,2,1,2,0,13,7,3,4,11
12,2015/12/21 0:55,6,4,4,2,5,0,6,6,3,3,17
13,2015/12/21 1:00,9,4,5,0,1,0,7,9,4,2,5
14,2015/12/21 1:05,12,3,3,0,3,3,6,9,0,2,4
15,2015/12/21 1:10,6,2,0,1,3,0,12,10,6,3,6
16,2015/12/21 1:15,8,1,1,2,3,0,2,7,4,4,8
17,2015/12/21 1:20,8,4,4,0,7,3,8,8,1,4,8
18,2015/12/21 1:25,3,3,2,1,2,0,4,5,2,0,6
19,2015/12/21 1:30,10,3,6,0,3,2,7,5,2,0,4
20,2015/12/21 1:35,8,1,4,1,2,0,5,5,5,2,3
21,2015/12/21 1:40,11,2,5,0,2,1,5,6,3,2,6
22,2015/12/21 1:45,5,9,2,0,3,2,5,6,1,4,5
23,2015/12/21 1:50,5,6,5,0,1,0,5,14,2,1,4
24,2015/12/21 1:55,1,2,0,1,0,0,3,8,3,1,4
25,2015/12/21 2:00,3,2,2,1,2,2,4,6,1,2,4
26,2015/12/21 2:05,3,5,3,2,1,3,5,4,1,0,4
27,2015/12/21 2:10,2,1,2,1,1,0,3,4,2,2,5
28,2015/12/21 2:15,7,1,2,0,0,0,4,4,2,1,6
29,2015/12/21 2:20,3,0,1,2,1,0,6,4,1,1,6
30,2015/12/21 2:25,5,1,0,2,1,1,0,7,2,2,6
31,2015/12/21 2:30,8,3,1,0,0,1,3,8,0,0,1
32,2015/12/21 2:35,4,4,5,0,2,0,3,7,2,0,2
33,2015/12/21 2:40,4,2,2,0,2,1,1,4,2,2,3
34,2015/12/21 2:45,7,3,1,0,0,0,2,2,4,3,3
35,2015/12/21 2:50,10,3,2,0,2,2,5,9,1,1,1
36,2015/12/21 2:55,4,4,0,0,2,1,1,6,2,1,4
37,2015/12/21 3:00,7,0,1,0,0,0,5,3,5,1,3
38,2015/12/21 3:05,4,1,0,1,0,0,3,6,1,0,7
39,2015/12/21 3:10,11,3,3,1,1,1,3,4,2,0,4
40,2015/12/21 3:15,6,4,2,1,0,1,8,7,3,1,5
41,2015/12/21 3:20,1,1,1,1,1,0,2,3,8,1,7
42,2015/12/21 3:25,9,2,1,1,1,0,10,3,3,2,3
43,2015/12/21 3:30,4,2,0,0,0,0,2,6,8,1,4
44,2015/12/21 3:35,1,4,0,1,1,0,4,5,5,0,1
45,2015/12/21 3:40,8,3,0,0,0,0,3,5,5,2,4
46,2015/12/21 3:45,5,5,1,1,1,2,3,5,5,2,3
47,2015/12/21 3:50,10,3,0,0,3,1,2,4,4,0,1
48,2015/12/21 3:55,7,2,1,0,2,0,4,10,7,3,10
49,2015/12/21 4:00,8,2,0,1,2,0,8,3,4,5,7
50,2015/12/21 4:05,4,5,3,0,1,1,8,6,11,5,8
51,2015/12/21 4:10,4,2,1,0,0,0,15,12,6,3,3
52,2015/12/21 4:15,5,2,1,0,0,0,8,5,10,3,8
53,2015/12/21 4:20,9,3,3,0,2,0,7,8,7,0,1
54,2015/12/21 4:25,9,4,1,1,3,1,2,6,4,2,6
55,2015/12/21 4:30,7,6,2,1,1,5,4,10,2,4,4
56,2015/12/21 4:35,8,11,1,2,5,0,4,4,9,2,7
57,2015/12/21 4:40,10,5,2,0,3,0,9,14,5,3,9
58,2015/12/21 4:45,9,5,3,0,2,0,8,5,7,3,7
59,2015/12/21 4:50,8,7,2,0,1,0,11,10,9,5,6
60,2015/12/21 4:55,13,10,2,2,3,0,9,7,11,3,10
61,2015/12/21 5:00,10,6,3,0,4,1,5,13,12,8,11
62,2015/12/21 5:05,22,8,5,2,6,1,14,12,8,8,10
63,2015/12/21 5:10,12,11,3,5,10,0,9,16,11,8,13
64,2015/12/21 5:15,15,12,1,2,3,1,13,20,7,9,13
65,2015/12/21 5:20,20,15,2,3,6,3,9,13,12,9,21
66,2015/12/21 5:25,15,7,1,3,7,2,16,26,14,9,15
67,2015/12/21 5:30,22,17,6,4,6,1,21,30,14,7,8
