data,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11
164,140,148,146,141,117,127,124,139,133,100,93
140,148,146,141,117,127,124,139,133,100,93,82
148,146,141,117,127,124,139,133,100,93,82,100
146,141,117,127,124,139,133,100,93,82,100,100
141,117,127,124,139,133,100,93,82,100,100,85
117,127,124,139,133,100,93,82,100,100,85,86
127,124,139,133,100,93,82,100,100,85,86,112
124,139,133,100,93,82,100,100,85,86,112,110
139,133,100,93,82,100,100,85,86,112,110,115
133,100,93,82,100,100,85,86,112,110,115,106
100,93,82,100,100,85,86,112,110,115,106,112
93,82,100,100,85,86,112,110,115,106,112,117
82,100,100,85,86,112,110,115,106,112,117,123
100,100,85,86,112,110,115,106,112,117,123,128
100,85,86,112,110,115,106,112,117,123,128,124
85,86,112,110,115,106,112,117,123,128,124,132
86,112,110,115,106,112,117,123,128,124,132,137
112,110,115,106,112,117,123,128,124,132,137,154
110,115,106,112,117,123,128,124,132,137,154,173
115,106,112,117,123,128,124,132,137,154,173,159
106,112,117,123,128,124,132,137,154,173,159,156
112,117,123,128,124,132,137,154,173,159,156,186
117,123,128,124,132,137,154,173,159,156,186,157
123,128,124,132,137,154,173,159,156,186,157,181
128,124,132,137,154,173,159,156,186,157,181,152
124,132,137,154,173,159,156,186,157,181,152,161
132,137,154,173,159,156,186,157,181,152,161,158
137,154,173,159,156,186,157,181,152,161,158,133
154,173,159,156,186,157,181,152,161,158,133,108
173,159,156,186,157,181,152,161,158,133,108,100
159,156,186,157,181,152,161,158,133,108,100,87
156,186,157,181,152,161,158,133,108,100,87,81
186,157,181,152,161,158,133,108,100,87,81,63
157,181,152,161,158,133,108,100,87,81,63,64
181,152,161,158,133,108,100,87,81,63,64,57
152,161,158,133,108,100,87,81,63,64,57,60
161,158,133,108,100,87,81,63,64,57,60,57
158,133,108,100,87,81,63,64,57,60,57,39
133,108,100,87,81,63,64,57,60,57,39,41
108,100,87,81,63,64,57,60,57,39,41,43
100,87,81,63,64,57,60,57,39,41,43,46
87,81,63,64,57,60,57,39,41,43,46,32
81,63,64,57,60,57,39,41,43,46,32,19
63,64,57,60,57,39,41,43,46,32,19,33
64,57,60,57,39,41,43,46,32,19,33,27
57,60,57,39,41,43,46,32,19,33,27,20
60,57,39,41,43,46,32,19,33,27,20,11
57,39,41,43,46,32,19,33,27,20,11,14
39,41,43,46,32,19,33,27,20,11,14,17
41,43,46,32,19,33,27,20,11,14,17,9
43,46,32,19,33,27,20,11,14,17,9,7
46,32,19,33,27,20,11,14,17,9,7,11
32,19,33,27,20,11,14,17,9,7,11,9
19,33,27,20,11,14,17,9,7,11,9,10
33,27,20,11,14,17,9,7,11,9,10,7
27,20,11,14,17,9,7,11,9,10,7,11
20,11,14,17,9,7,11,9,10,7,11,8
11,14,17,9,7,11,9,10,7,11,8,6
14,17,9,7,11,9,10,7,11,8,6,10
17,9,7,11,9,10,7,11,8,6,10,2
9,7,11,9,10,7,11,8,6,10,2,5
7,11,9,10,7,11,8,6,10,2,5,5
11,9,10,7,11,8,6,10,2,5,5,8
9,10,7,11,8,6,10,2,5,5,8,3
10,7,11,8,6,10,2,5,5,8,3,6
7,11,8,6,10,2,5,5,8,3,6,7
11,8,6,10,2,5,5,8,3,6,7,2
8,6,10,2,5,5,8,3,6,7,2,5
6,10,2,5,5,8,3,6,7,2,5,7
10,2,5,5,8,3,6,7,2,5,7,10
2,5,5,8,3,6,7,2,5,7,10,10
5,5,8,3,6,7,2,5,7,10,10,13
5,8,3,6,7,2,5,7,10,10,13,19
8,3,6,7,2,5,7,10,10,13,19,21
3,6,7,2,5,7,10,10,13,19,21,37
6,7,2,5,7,10,10,13,19,21,37,67
7,2,5,7,10,10,13,19,21,37,67,96
2,5,7,10,10,13,19,21,37,67,96,115
5,7,10,10,13,19,21,37,67,96,115,101
7,10,10,13,19,21,37,67,96,115,101,129
10,10,13,19,21,37,67,96,115,101,129,139
10,13,19,21,37,67,96,115,101,129,139,173
13,19,21,37,67,96,115,101,129,139,173,193
19,21,37,67,96,115,101,129,139,173,193,181
21,37,67,96,115,101,129,139,173,193,181,176
37,67,96,115,101,129,139,173,193,181,176,155
67,96,115,101,129,139,173,193,181,176,155,155
96,115,101,129,139,173,193,181,176,155,155,128
115,101,129,139,173,193,181,176,155,155,128,129
101,129,139,173,193,181,176,155,155,128,129,117
129,139,173,193,181,176,155,155,128,129,117,115
139,173,193,181,176,155,155,128,129,117,115,150
173,193,181,176,155,155,128,129,117,115,150,146
193,181,176,155,155,128,129,117,115,150,146,142
181,176,155,155,128,129,117,115,150,146,142,124
176,155,155,128,129,117,115,150,146,142,124,121
155,155,128,129,117,115,150,146,142,124,121,98
155,128,129,117,115,150,146,142,124,121,98,110
128,129,117,115,150,146,142,124,121,98,110,89
129,117,115,150,146,142,124,121,98,110,89,121
117,115,150,146,142,124,121,98,110,89,121,107
115,150,146,142,124,121,98,110,89,121,107,97
150,146,142,124,121,98,110,89,121,107,97,95
146,142,124,121,98,110,89,121,107,97,95,116
142,124,121,98,110,89,121,107,97,95,116,115
124,121,98,110,89,121,107,97,95,116,115,113
121,98,110,89,121,107,97,95,116,115,113,128
98,110,89,121,107,97,95,116,115,113,128,135
110,89,121,107,97,95,116,115,113,128,135,141
89,121,107,97,95,116,115,113,128,135,141,116
121,107,97,95,116,115,113,128,135,141,116,120
107,97,95,116,115,113,128,135,141,116,120,136
97,95,116,115,113,128,135,141,116,120,136,138
