,zhonghnanindown,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,average
5000,71,44,73,58,51,47,62,77,68,57,61,84,73,59,50
5001,49,71,44,73,58,51,47,62,77,68,57,61,84,73,47.33333333
5002,56,49,71,44,73,58,51,47,62,77,68,57,61,84,55
5003,40,56,49,71,44,73,58,51,47,62,77,68,57,61,52.33333333
5004,44,40,56,49,71,44,73,58,51,47,62,77,68,57,50
5005,47,44,40,56,49,71,44,73,58,51,47,62,77,68,48
5006,42,47,44,40,56,49,71,44,73,58,51,47,62,77,48.33333333
5007,59,42,47,44,40,56,49,71,44,73,58,51,47,62,48.66666667
5008,54,59,42,47,44,40,56,49,71,44,73,58,51,47,50.33333333
5009,38,54,59,42,47,44,40,56,49,71,44,73,58,51,52.33333333
5010,54,38,54,59,42,47,44,40,56,49,71,44,73,58,48.66666667
5011,34,54,38,54,59,42,47,44,40,56,49,71,44,73,43.66666667
5012,52,34,54,38,54,59,42,47,44,40,56,49,71,44,46.66666667
5013,55,52,34,54,38,54,59,42,47,44,40,56,49,71,39.66666667
5014,39,55,52,34,54,38,54,59,42,47,44,40,56,49,44.66666667
5015,39,39,55,52,34,54,38,54,59,42,47,44,40,56,40.66666667
5016,39,39,39,55,52,34,54,38,54,59,42,47,44,40,43.66666667
5017,39,39,39,39,55,52,34,54,38,54,59,42,47,44,42.33333333
5018,38,39,39,39,39,55,52,34,54,38,54,59,42,47,43.33333333
5019,50,38,39,39,39,39,55,52,34,54,38,54,59,42,39.33333333
5020,42,50,38,39,39,39,39,55,52,34,54,38,54,59,43.33333333
5021,40,42,50,38,39,39,39,39,55,52,34,54,38,54,39
5022,42,40,42,50,38,39,39,39,39,55,52,34,54,38,40.66666667
5023,51,42,40,42,50,38,39,39,39,39,55,52,34,54,38
5024,44,51,42,40,42,50,38,39,39,39,39,55,52,34,40.33333333
5025,44,44,51,42,40,42,50,38,39,39,39,39,55,52,41.66666667
5026,48,44,44,51,42,40,42,50,38,39,39,39,39,55,39
5027,40,48,44,44,51,42,40,42,50,38,39,39,39,39,43
5028,45,40,48,44,44,51,42,40,42,50,38,39,39,39,38.66666667
5029,39,45,40,48,44,44,51,42,40,42,50,38,39,39,34.33333333
5030,34,39,45,40,48,44,44,51,42,40,42,50,38,39,34
5031,27,34,39,45,40,48,44,44,51,42,40,42,50,38,29
5032,34,27,34,39,45,40,48,44,44,51,42,40,42,50,33
5033,31,34,27,34,39,45,40,48,44,44,51,42,40,42,45
5034,28,31,34,27,34,39,45,40,48,44,44,51,42,40,33
5035,24,28,31,34,27,34,39,45,40,48,44,44,51,42,39
5036,29,24,28,31,34,27,34,39,45,40,48,44,44,51,35.33333333
5037,29,29,24,28,31,34,27,34,39,45,40,48,44,44,30.66666667
5038,34,29,29,24,28,31,34,27,34,39,45,40,48,44,31.66666667
5039,29,34,29,29,24,28,31,34,27,34,39,45,40,48,33
5040,37,29,34,29,29,24,28,31,34,27,34,39,45,40,39
5041,37,37,29,34,29,29,24,28,31,34,27,34,39,45,35.66666667
5042,23,37,37,29,34,29,29,24,28,31,34,27,34,39,27
5043,40,23,37,37,29,34,29,29,24,28,31,34,27,34,31.66666667
5044,31,40,23,37,37,29,34,29,29,24,28,31,34,27,28
5045,31,31,40,23,37,37,29,34,29,29,24,28,31,34,31.33333333
5046,23,31,31,40,23,37,37,29,34,29,29,24,28,31,35
5047,25,23,31,31,40,23,37,37,29,34,29,29,24,28,34.33333333
5048,29,25,23,31,31,40,23,37,37,29,34,29,29,24,37
5049,32,29,25,23,31,31,40,23,37,37,29,34,29,29,34
5050,30,32,29,25,23,31,31,40,23,37,37,29,34,29,34.66666667
5051,38,30,32,29,25,23,31,31,40,23,37,37,29,34,39.33333333
5052,44,38,30,32,29,25,23,31,31,40,23,37,37,29,37.33333333
5053,37,44,38,30,32,29,25,23,31,31,40,23,37,37,25.33333333
5054,36,37,44,38,30,32,29,25,23,31,31,40,23,37,35.66666667
5055,37,36,37,44,38,30,32,29,25,23,31,31,40,23,32.33333333
5056,44,37,36,37,44,38,30,32,29,25,23,31,31,40,35.66666667
5057,36,44,37,36,37,44,38,30,32,29,25,23,31,31,30.33333333
